단어,힌트1,힌트2
일구이언,말을 자꾸 바꾸어 신뢰할 수 없게 만듭니다.,같은 일에 대해 앞뒤 말이 맞지 않는 거짓말입니다.
일도양단,칼로 물을 베듯 한 번에 딱 잘라 결정합니다.,우유부단하지 않고 확실하게 처리하는 모습입니다.
일망타진,한 번의 그물질로 무리를 모두 다 잡습니다.,범죄자 집단 등을 한꺼번에 모두 붙잡을 때 씁니다.
일목요연,한눈에 들어올 정도로 명확하고 질서 정연합니다.,복잡한 내용이 아주 보기 좋게 정리되어 있습니다.
일벌백계,한 사람을 벌주어 백 사람을 경계하게 합니다.,엄격한 규칙 적용으로 다른 이들의 범죄를 막습니다.
일사불란,질서가 있어 조금도 어지럽지 않은 상태입니다.,조직이 아주 잘 짜여서 한 몸처럼 움직입니다.
일사천리,일이 아주 빠르게 막힘없이 잘 진행됩니다.,물 흐르듯 순조롭게 모든 일이 처리됩니다.
일석이조,돌 하나를 던져 새 두 마리를 잡는 이득입니다.,하나의 수단으로 두 가지 효과를 동시에 얻습니다.
일심동체,두 사람 이상이 한마음 한뜻으로 뭉칩니다.,완벽하게 조화를 이루어 한 몸처럼 생각합니다.
일장일단,장점이 있으면 그만큼 단점도 함께 존재합니다.,세상 모든 일에는 좋은 점과 나쁜 점이 다 있습니다.
일장춘몽,한바탕의 봄날 꿈처럼 덧없이 사라지는 영화입니다.,세상 부귀영화가 잠시 머물다 가는 꿈과 같습니다.
일진일퇴,공격했다가 물러났다가 하며 팽팽하게 겨룹니다.,경기가 계속 밀고 당기며 결과를 알 수 없는 상황입니다.
일촉즉발,조금만 건드려도 곧 폭발할 것 같은 위태로운 상황입니다.,작은 충격에도 곧 큰 사건이 터질 것만 같습니다.
일취월장,날로 다달이 학식이나 실력이 나날이 발전합니다.,예전보다 훨씬 실력이 눈부시게 성장했습니다.
일파만파,작은 일이 퍼져나가 엄청난 영향을 미칩니다.,물결이 번져나가듯 걷잡을 수 없이 사건이 커집니다.
일편단심,한 조각의 붉은 마음으로 굳게 믿고 충성합니다.,변하지 않는 정성 어린 마음을 나타냅니다.
일필휘지,붓으로 글씨를 단번에 빠르게 써 내려갑니다.,글씨나 그림을 거침없이 아주 잘 그려냅니다.
일확천금,한 번의 노력으로 갑자기 큰 돈을 벌어들입니다.,운 좋게 아주 큰 부자가 되는 상황을 뜻합니다.
임기응변,임시로 대처하는 뛰어난 재치와 수단입니다.,예기치 못한 상황에서 그때그때 알맞게 대처합니다.
임시방편,우선은 급한 불을 끄기 위해 하는 임시책입니다.,장기적인 대책 없이 지금 당장만 해결하려 합니다.
임전무퇴,싸움에 임하여 결코 물러서지 않겠다는 자세입니다.,죽을 각오로 당당하게 승부를 겨룹니다.
입신양명,출세하여 이름을 세상에 널리 알리고 명예를 얻습니다.,가문의 이름을 높이고 사회적으로 성공합니다.
자가당착,자기의 말이 앞뒤가 맞지 않고 모순됩니다.,제 행동이 제 말과 달라 스스로 꼬이는 상태입니다.
자격지심,자기가 한 일에 대해 스스로 미흡함을 느낍니다.,왠지 모르게 스스로 작아지고 기가 죽는 마음입니다.
자급자족,필요한 것을 스스로 만들고 먹으며 생활합니다.,남에게 의지하지 않고 스스로 해결하는 경제 방식입니다.
자문자답,스스로 묻고 스스로 대답하는 것을 의미합니다.,고민이 깊을 때 혼자서 생각을 정리하는 과정입니다.
자수성가,남의 도움 없이 혼자 힘으로 성공하여 가문을 일으킵니다.,맨손으로 시작해 스스로의 능력으로 부를 이룹니다.
자승자박,자기가 만든 밧줄에 스스로 묶이는 상황입니다.,남을 괴롭히려던 일이 도리어 자신에게 해가 됩니다.
자업자득,자기가 저지른 일에 대한 업보를 자기가 받습니다.,나쁜 짓을 해서 나쁜 결과를 스스로 초래했습니다.
자중지난,자기들끼리 내부적으로 싸워 분란이 일어납니다.,한 집단 안에서 파벌 싸움으로 상황이 꼬입니다.
자초지종,일의 처음부터 끝까지 일어난 모든 과정입니다.,무슨 일이 있었는지 차근차근 설명할 때 씁니다.
자포자기,자신을 포기하고 스스로 망가뜨리는 절망적인 상태입니다.,어려움에 부딪혀 모든 의욕을 잃어버렸습니다.
자화자찬,자기가 그린 그림을 스스로 칭찬한다는 뜻입니다.,남이 아닌 자신이 스스로 자신의 일을 자랑합니다.
작심삼일,마음먹은 지 사흘을 넘기지 못하는 나약한 의지입니다.,계획을 세워놓고 금방 포기해버릴 때 씁니다.
장삼이사,평범한 사람들을 이르는 말입니다.,이름 없는 일반적인 대중들을 뜻합니다.
장유유서,어른과 어린이 사이에는 지켜야 할 질서가 있습니다.,예절을 중시하는 유교 문화의 기본적인 덕목입니다.
적반하장,도둑이 오히려 매를 든다는 적반하장의 상황입니다.,잘못한 사람이 오히려 큰소리를 치며 큰소리칩니다.
적자생존,환경에 적응하는 강한 자만이 살아남는 경쟁 법칙입니다.,진화론의 핵심으로 치열한 생존 싸움을 말합니다.
적재적소,알맞은 인재를 알맞은 위치에 배치하는 것입니다.,최고의 효율을 내기 위해 꼭 필요한 곳에 사람을 씁니다.
전광석화,번갯불이나 불꽃처럼 아주 빠르게 움직입니다.,찰나의 순간을 아주 강렬하고 짧게 표현합니다.
전대미문,이전에는 한 번도 들어본 적 없는 놀라운 일입니다.,역사적으로 처음 있는 희귀한 사건을 뜻합니다.
전인미답,아직 아무도 가보지 않은 새로운 길입니다.,아무도 개척하지 않은 새로운 영역에 도전합니다.
전전긍긍,매우 두려워 떨며 조심하고 불안해합니다.,무슨 일이 벌어질까 봐 늘 불안에 떨고 있습니다.
전지전능,모든 것을 다 알고 다 할 수 있는 절대적인 힘입니다.,신적인 존재의 무한한 능력을 의미합니다.
전화위복,화가 바뀌어 오히려 복이 되는 행운입니다.,위기를 기회로 삼아 더 좋은 결과를 이뤄냅니다.
전후사정,앞뒤로 일어난 자세한 상황이나 내막입니다.,왜 이런 일이 생겼는지 상황을 파악해야 합니다.
절치부심,이를 갈고 속을 썩이며 깊이 분해합니다.,복수나 성공을 위해 괴로움을 참고 다짐합니다.
점입가경,갈수록 더 재미있고 좋은 경지로 들어섭니다.,사건이 거듭될수록 더 흥미진진해집니다.
정저지와,우물 안 개구리처럼 세상 물정을 모르는 좁은 식견입니다.,자신이 다 아는 것처럼 생각하지만 실제론 아주 좁은 곳에 있습니다.
정정당당,겉모습도 바르고 속마음도 떳떳하여 숨김이 없습니다.,승부에서 공정하게 규칙을 지키며 대결합니다.
조강지처,가난하고 힘들 때 고생을 같이 한 아내입니다.,평생 잊지 말아야 할 가장 소중한 배우자입니다.
조삼모사,아침에 세 개 저녁에 네 개라는 속임수입니다.,당장의 이익에만 눈이 어두워 결과는 똑같은데도 속습니다.
조족지혈,새 발의 피만큼 아주 적은 분량입니다.,전체에 비하면 새 발의 피처럼 아무것도 아닙니다.
종횡무진,어디든 거침없이 자유롭게 활약합니다.,제약 없이 능력을 마음껏 펼치고 있습니다.
좌불안석,자리에 앉아도 편하지 않아 안절부절못합니다.,마음이 급하거나 불안해서 차분히 앉아있지 못합니다.
좌지우지,마음대로 남을 휘두르고 상황을 조종합니다.,자신의 뜻대로 사람들을 이리저리 움직이게 합니다.
좌충우돌,여기저기 부딪히며 갈팡질팡 정신없이 움직입니다.,경험이 부족해 여러 실수와 충돌을 겪습니다.
주객전도,주인과 손님이 바뀌었다는 뜻으로 순서가 거꾸로 되었습니다.,본질과 비본질이 뒤바뀌어 상황이 이상해졌습니다.
주경야독,낮에는 농사짓고 밤에는 책을 읽으며 공부합니다.,힘든 환경 속에서도 꿋꿋하게 학문에 매진합니다.
주마간산,달리는 말 위에서 산을 본다는 건 대충 보고 지나가는 것입니다.,자세히 살펴보지 않고 성급하게 겉만 훑어봅니다.
죽마고우,어릴 적 죽마를 타고 놀던 아주 오래된 친구입니다.,평생을 함께해온 아주 친한 어린 시절 벗입니다.
중과부적,적은 수로는 많은 수를 도저히 당해낼 수 없습니다.,상대방이 너무 많아 이기기 힘든 상황입니다.
중구난방,여러 사람이 떠들어 의견을 하나로 모으기 어렵습니다.,누가 무슨 말을 하는지 모르게 무질서하게 떠듭니다.
지도편달,가르침과 이끌어줌을 간곡히 부탁할 때 씁니다.,선배나 어른에게 가르침을 달라고 부탁합니다.
지란지교,향기로운 지초와 난초 같은 아름다운 교제입니다.,서로 귀하게 여기는 맑고 깨끗한 우정입니다.
지록위마,사슴을 가리켜 말이라 한다는 뜻으로 윗사람을 속입니다.,권력을 이용해 거짓을 사실로 둔갑시키는 모습입니다.
지리멸렬,조직이 갈갈이 찢기고 흩어져 도저히 기를 펴지 못합니다.,상황이 너무 어지러워 질서를 찾을 수 없습니다.
지상명령,반드시 지켜야 하는 아주 중요한 최고의 명령입니다.,거역할 수 없는 꼭 수행해야 할 지시사항입니다.
지성감천,지극한 정성이면 하늘도 감동하여 돕습니다.,진심을 다해 노력하면 어떤 일도 이루어집니다.
지피지기,나를 알고 상대를 알면 백 번 싸워도 위험하지 않습니다.,상황을 정확히 파악하고 대비하는 지혜입니다.
진수성찬,맛있는 음식이 가득 차려진 훌륭한 식탁입니다.,잔치 등에서 정성스럽게 많이 차린 요리들입니다.
진퇴양난,나아갈 수도 없고 물러설 수도 없는 어려운 상황입니다.,어느 쪽을 선택해도 곤란한 난처한 처지입니다.
차일피일,일을 자꾸 미루며 하루 이틀 시간을 끕니다.,약속을 어기고 내일모레 하며 계속 미루기만 합니다.
천고마비,가을 하늘이 높고 말이 살찌는 풍요로운 계절입니다.,날씨가 맑고 먹을 것이 많은 좋은 가을을 뜻합니다.
천군만마,든든한 아군이 아주 많아 힘이 솟는 느낌입니다.,큰일을 앞두고 힘이 되어줄 지원군을 얻었습니다.
천만다행,너무나 다행스러워 운이 정말 좋았습니다.,잘못될 뻔했는데 뜻밖에 아무 일도 일어나지 않았습니다.
천방지축,어디로 튈지 모르는 덤벙대고 어수선한 행동입니다.,예의 없이 버릇없게 날뛰는 사람을 꾸짖을 때 씁니다.
천생연분,하늘이 정해준 아주 깊은 인연입니다.,정말 잘 맞는 짝을 만났을 때 사용하는 말입니다.
천신만고,온갖 고생과 어려움을 다 겪으며 살아남습니다.,정말 힘든 과정을 거쳐 결과를 얻어냈습니다.
천우신조,하늘이 돕고 신이 도와 위기를 넘깁니다.,운 좋게 아주 큰 도움을 받아 성공했습니다.
천인공노,하늘과 땅이 함께 분노할 만큼 괘씸한 죄입니다.,도저히 용서할 수 없는 아주 악독한 짓입니다.
천장지구,하늘과 땅처럼 아주 영원히 변치 않습니다.,세월이 흘러도 절대로 잊히지 않을 관계입니다.
천재일우,천 년에 한 번 올까 말까 한 아주 좋은 기회입니다.,흔치 않은 절호의 찬스를 얻었습니다.
천지개벽,세상이 처음 생겨날 때처럼 아주 엄청난 변화입니다.,전혀 상상하지 못했던 획기적인 발전이 일어났습니다.
천진난만,꾸밈없이 아주 순수하고 아이 같은 마음입니다.,아무런 계산 없이 해맑게 웃는 모습입니다.
천차만별,차이와 구별이 너무 많아 다 똑같지 않습니다.,모양이나 수준이 제각각 아주 다양합니다.
천편일률,모든 것이 다 똑같아 개성이 전혀 없습니다.,다양성 없이 획일적으로 만들어진 상태입니다.
천하태평,세상이 아무 걱정 없이 아주 평화롭습니다.,마음 편하게 근심 없이 살아가는 모습입니다.
철두철미,처음부터 끝까지 아주 완벽하여 빈틈이 없습니다.,계획한 일을 아주 꼼꼼하게 처리합니다.
철천지원,하늘을 찌를 만큼 원망스러운 아주 깊은 원수입니다.,도저히 잊을 수 없는 아주 미운 존재입니다.
첩첩산중,산 너머 또 산이 있듯 어려움이 계속 겹칩니다.,해결해야 할 문제가 끊임없이 산처럼 쌓여 있습니다.
청렴결백,성품이 깨끗하여 돈을 탐내지 않고 정직합니다.,부정부패 없이 바르게 살아가는 공직자입니다.
청천벽력,맑은 하늘에 날벼락이 치듯 아주 뜻밖의 사건입니다.,전혀 예상치 못한 아주 슬픈 소식입니다.
청출어람,제자가 스승보다 더 뛰어나게 성장했습니다.,배움을 거듭하여 가르침을 준 사람보다 더 잘하게 됩니다.
청풍명월,맑은 바람과 밝은 달로 풍류를 즐깁니다.,자연과 함께하는 아주 고요하고 멋스러운 운치입니다.
초가삼간,아주 작고 소박한 시골집을 의미합니다.,소박한 삶의 터전에서 행복하게 지냅니다.
초근목피,풀뿌리와 나무껍질로 연명하는 가난한 생활입니다.,먹을 것이 없어 겨우 굶주림만 면하고 있습니다.
초지일관,처음에 먹은 마음을 끝까지 밀고 나갑니다.,중간에 변함없이 뜻을 굳게 지킵니다.
촌철살인,한 마디의 말로 상대방을 꼼짝 못 하게 찌릅니다.,핵심을 꿰뚫는 날카로운 한마디 충고입니다.
추처낭중,주머니 속의 송곳처럼 뛰어난 재능은 드러납니다.,진짜 실력자는 가만히 있어도 남들이 알아봅니다.
추풍낙엽,가을바람에 떨어지는 잎처럼 기세가 꺾입니다.,힘없이 무너지고 사라지는 모습을 비유합니다.
침소봉대,작은 것을 크게 부풀려 말하는 과장법입니다.,별것 아닌 일을 아주 대단한 것처럼 꾸밉니다.
쾌도난마,얽힌 문제를 칼로 끊어내듯 시원하게 해결합니다.,복잡하게 꼬인 실타래를 한 번에 풀어버립니다.
타산지석,다른 산의 돌이라도 내 구슬을 가는 데 씁니다.,다른 사람의 실수나 실패에서 교훈을 얻습니다.
탁상공론,현실성 없는 책상 위의 빈말에 불과한 논의입니다.,말뿐인 대책으로는 실질적인 변화를 만들 수 없습니다.
탐관오리,욕심이 많아 백성의 재물을 뺏는 나쁜 관리입니다.,권력을 이용해 부당하게 이득을 취하는 사람입니다.
태평성대,나라가 아주 평화롭고 백성이 잘사는 세상입니다.,아무런 전쟁이나 재난 없이 살기 좋은 시기입니다.
토사구팽,사냥이 끝나면 사냥개를 삶아 먹는다는 버림받음입니다.,쓸모가 있을 때는 쓰다가 나중엔 헌신짝처럼 버려집니다.
파란만장,물결이 일듯 굽이치며 많은 고난을 겪습니다.,인생에 사건 사고가 많아 평탄치 않았습니다.
파렴치안,부끄러움을 모르는 아주 뻔뻔한 사람입니다.,도덕적인 개념이 없어 죄책감도 느끼지 않습니다.
파안대소,얼굴이 펴질 정도로 크게 웃음을 터뜨립니다.,아주 기쁜 일이 있어 소리 내어 크게 웃습니다.
파죽지세,대나무를 쪼개듯 아주 강한 기세로 나아갑니다.,적을 압도하며 거침없이 계속 승리합니다.
팔방미인,모든 방면에 재주가 많아 뭐든 다 잘합니다.,어느 분야에서도 빠지지 않는 다재다능한 사람입니다.
패가망신,재산을 탕진하고 가문까지 망하게 되는 일입니다.,나쁜 습관 때문에 인생이 완전히 망가졌습니다.
편모슬하,홀어머니 밑에서 자라나며 보살핌을 받습니다.,어머니 혼자서 정성껏 자식을 키워냈습니다.
포복절도,배를 잡고 뒤집어질 정도로 아주 크게 웃습니다.,너무 웃겨서 몸을 제대로 가누지 못합니다.
폭풍전야,폭풍이 불기 직전처럼 팽팽한 긴장감이 흐릅니다.,무슨 일이 터지기 바로 전의 조용한 상황입니다.
표리부동,겉과 속이 달라서 믿을 수 없는 태도입니다.,말과 행동이 달라 속마음을 알 수 없습니다.
풍전등화,바람 앞의 등불처럼 매우 위태로운 처지입니다.,언제 꺼질지 모르는 매우 절박한 상황입니다.
피차일반,너나 나나 서로 다를 바 없이 똑같습니다.,상대방과 나 사이에 큰 차이가 없는 상황입니다.
학수고대,학의 목처럼 길게 빼고 간절히 기다립니다.,손꼽아 기다리며 시간이 빨리 흐르길 바랍니다.
함흥차사,한번 가면 소식이 없어 도무지 돌아오지 않습니다.,심부름을 갔는데 왜 안 오는지 답답할 때 씁니다.
허무맹랑,말이 터무니없고 도무지 믿을 수 없는 헛소리입니다.,논리도 없고 실제와 너무 동떨어진 이야기입니다.
허심탄회,마음을 비우고 터놓고 솔직하게 이야기합니다.,숨기는 것 없이 진심을 나누고 대화합니다.
허장성세,실속 없이 겉으로만 기세를 부리며 으름장을 놓습니다.,겁을 주려 하지만 실제로는 아무것도 없는 상태입니다.
허허실실,실속은 비우고 겉은 가득 찬 것처럼 하여 상대를 속입니다.,상대의 빈틈을 노리는 전략적인 태도입니다.
형설지공,반딧불과 눈빛으로 공부한 노력의 결실입니다.,가난 속에서도 굴하지 않고 열심히 공부하여 성공했습니다.
호구지계,겨우 입에 풀칠하며 살아갈 방도를 찾습니다.,먹고살기 너무 힘들어서 고생하고 있습니다.
호구지책,살아가기 위해 먹고 살 방편을 마련하는 것입니다.,가족을 먹여 살리기 위해 열심히 일해야 합니다.
호부호형,아버지를 아버지라 부르지 못하고 형을 형이라 부르지 못합니다.,신분 제약 때문에 당당하게 부르지 못하는 설움입니다.
호사다마,좋은 일에는 탈이 많아 방해가 자주 생깁니다.,잘되려 하면 꼭 훼방꾼이 나타나거나 문제가 생깁니다.
호시탐탐,범처럼 기회를 노리며 틈을 엿보는 모습입니다.,어떤 목적을 이루려고 눈을 부릅뜨고 기다립니다.
호언장담,지킬 수 있을지 모르는 자신감으로 크게 말합니다.,큰소리치며 확실하게 하겠다고 약속합니다.
호의호식,비단 옷을 입고 맛있는 음식을 먹으며 잘 삽니다.,아주 풍족하고 편안한 삶을 누리고 있습니다.
혹세무민,세상을 어지럽히고 백성을 속여 현혹합니다.,나쁜 사상으로 사람들을 잘못된 길로 이끕니다.
혼비백산,혼이 날아가고 넋이 흩어질 정도로 아주 놀랐습니다.,깜짝 놀라 얼굴이 하얗게 질리고 정신이 없습니다.
혼연일체,마음과 몸이 하나로 합쳐져 완전히 일치합니다.,팀워크가 아주 좋아 완벽하게 조화를 이룹니다.
혼용무도,세상이 어지러워 도리가 하나도 통하지 않습니다.,정의가 사라지고 옳지 않은 일이 횡행합니다.
화룡점정,용을 그린 뒤 눈을 찍듯 마무리하여 완벽하게 합니다.,가장 중요한 부분을 마지막에 더해 일을 완성합니다.
화무십일,열흘 동안 피어 있는 꽃은 없다는 덧없음입니다.,권력이나 젊음도 잠시뿐 영원하지 않습니다.
화무십홍,붉은 꽃은 열흘을 넘기기 힘들다는 뜻입니다.,세상의 아름다움이나 명예도 한순간입니다.
화중지병,그림 속의 떡이라 보기는 해도 먹을 수 없습니다.,보기엔 좋으나 실질적인 도움이 안 되는 것입니다.
확고부동,생각이 흔들리지 않고 아주 굳건합니다.,한번 결정한 뜻을 끝까지 바꾸지 않습니다.
환골탈태,뼈를 바꾸고 태를 벗듯 완전히 새로운 모습이 되었습니다.,몰라볼 정도로 사람이 멋지게 변했습니다.
황당무계,말이 사실이 아니고 터무니없이 거짓 같습니다.,전혀 근거가 없어서 도무지 이해할 수 없습니다.
회자정리,만나면 언젠가는 헤어지는 것이 자연의 이치입니다.,사람과 사람 사이의 만남과 이별은 숙명입니다.
횡설수설,앞뒤가 맞지 않게 아무렇게나 함부로 말을 늘어놓습니다.,술 취했거나 정신이 없어 헛소리를 합니다.
후안무치,낯가죽이 두꺼워 부끄러움을 전혀 모릅니다.,잘못을 저지르고도 뻔뻔하게 행동합니다.
후회막급,일이 잘못된 뒤에 뉘우쳐도 이미 너무 늦었습니다.,진작에 잘할 걸 하며 뒤늦게 땅을 치고 탄식합니다.
휘황찬란,빛이 아주 밝고 화려하여 눈부십니다.,어둠 속에서도 아주 반짝이며 빛나고 있습니다.
흉악무도,성격이 아주 악독하여 도리가 전혀 없습니다.,사람으로서 해서는 안 될 아주 나쁜 짓을 합니다.
흥망성쇠,나라나 집안이 흥하고 망하고 성공하고 쇠퇴하는 과정입니다.,세상일은 돌고 돌아 끝없이 변하는 것입니다.
희노애락,기쁨 노여움 슬픔 즐거움이라는 사람의 네 감정입니다.,인생을 살면서 누구나 겪는 다양한 감정들입니다.
